"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id"
"L1A","20260130_2378","20260130_2378_19683_0","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19683_1","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19683_2","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19683_3","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19683_4","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19683_5","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19683_6","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19683_7","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19683_8","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19683_9","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19683_10","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19683_11","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19684_0","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19684_1","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19684_2","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19684_3","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19684_4","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19684_5","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19684_6","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19684_7","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19684_8","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19684_9","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19685_0","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19685_1","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19685_2","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19685_3","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19685_4","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19685_5","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19685_6","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19685_7","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19685_8","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19685_9","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19685_10","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19685_11","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19686_0","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19686_1","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19686_2","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19686_3","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19686_4","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19686_5","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19686_6","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19686_7","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19686_8","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19686_9","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19687_0","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19687_1","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19687_2","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19687_3","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19687_4","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19687_5","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19687_6","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19687_7","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19687_8","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19687_9","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19688_0","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19688_1","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19688_2","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19688_3","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19688_4","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19688_5","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19688_6","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19688_7","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19688_8","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19688_9","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19689_0","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19689_1","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19689_2","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19689_3","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19689_4","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19689_5","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19689_6","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19689_7","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19689_8","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19689_9","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19689_10","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19689_11","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19690_0","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19690_1","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19690_2","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19690_3","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19690_4","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19690_5","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19690_6","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19690_7","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19690_8","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19690_9","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19691_0","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19691_1","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19691_2","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19691_3","","","0","","L1"
