station_name,line,lat,lon
La Peseta,L11,40.3631495,-3.7573685
La Poveda,L9,40.3190191,-3.477792
La Rambla,L7,40.4251196,-3.5479131
Lacoma,L7,40.4850704,-3.7230412
Lago,L10,40.4165164,-3.735037
Laguna,L6,40.3993145,-3.7446043
Las Musas,L7,40.4325725,-3.6078092
Las Rosas,L2,40.423544,-3.6028538
Las Suertes,L1,40.3634748,-3.5991869
Las Tablas,L10,40.508689,-3.6694295
Lavapiés,L3,40.4085142,-3.7009495
Leganés Central,L12,40.3280959,-3.7723654
Legazpi,L3,40.3925477,-3.6949049
Legazpi,L6,40.3911701,-3.6950818
Lista,L4,40.4293985,-3.6754152
Loranca,L12,40.2967607,-3.8367713
Los Espartales,L12,40.3241323,-3.718351
Lucero,L6,40.4051321,-3.7453299
Manoteras,L4,40.4766772,-3.6627179
Manuel Becerra,L2,40.4281259,-3.6687076
Manuel Becerra,L6,40.4272313,-3.6685539
Manuel de Falla,L10,40.5502794,-3.6470107
Manuela Malasaña,L12,40.3091005,-3.8642773
Mar de Cristal,L4,40.4699264,-3.6387113
Mar de Cristal,L8,40.4698401,-3.6386203
Marqués de Vadillo,L5,40.3972916,-3.7167111
Marqués de la Valdavia,L10,40.5404409,-3.6381009
Menéndez Pelayo,L1,40.4042921,-3.6811818
Miguel Hernández,L1,40.3876172,-3.6402187
Mirasierra,L9,40.4911747,-3.7167771
Moncloa,L3,40.4345809,-3.7190144
Moncloa,L6,40.4347279,-3.7193
Montecarmelo,L10,40.5054212,-3.6962025
Méndez Álvaro,L6,40.3957423,-3.6794812
Móstoles Central,L12,40.3290173,-3.8634137
Noviciado,L2,40.424594,-3.707432
Nueva Numancia,L1,40.3959292,-3.6647907
Nuevos Ministerios,L10,40.4452235,-3.6913658
Nuevos Ministerios,L8,40.4454795,-3.6915608
Núñez de Balboa,L5,40.4326155,-3.6795514
Núñez de Balboa,L9,40.4326446,-3.6796283
O'Donnell,L6,40.4221699,-3.6689306
Opañel,L6,40.3869526,-3.7231636
Oporto,L5,40.3886084,-3.7317322
Oporto,L6,40.3886813,-3.7317264
Pacífico,L1,40.401957,-3.6762655
Pacífico,L6,40.4024407,-3.6737962
Palos de la Frontera,L3,40.4030544,-3.694679
Pan Bendito,L11,40.3762068,-3.7342251
Parque Europa,L12,40.2852421,-3.8074427
Parque Lisboa,L12,40.3494918,-3.8207858
Parque Oeste,L12,40.3457845,-3.8490306
Parque de Santa María,L4,40.4770842,-3.6456762
Parque de las Avenidas,L7,40.438994,-3.663174
Parque de los Estados,L12,40.2866766,-3.7871972
Pavones,L9,40.4005086,-3.6352378
Peñagrande,L7,40.4761023,-3.7160343
Pinar de Chamartín,L1,40.4800712,-3.6670144
Pinar de Chamartín,L4,40.479916,-3.6671654
Pinar del Rey,L8,40.4677559,-3.6486621
Pirámides,L5,40.402002,-3.711945
Pitis,L7,40.4952326,-3.725745
Plaza Elíptica,L11,40.3849775,-3.7184629
Plaza Elíptica,L6,40.3852164,-3.7157944
Plaza de Castilla,L1,40.4664985,-3.6897462
Plaza de Castilla,L10,40.4673687,-3.6881528
Plaza de Castilla,L9,40.4663611,-3.6877466
Plaza de España,L10,40.42411,-3.7097362
Plaza de España,L3,40.4238071,-3.7115984
Portazgo,L1,40.3930004,-3.6592062
Pradillo,L12,40.3221312,-3.8643012
Prosperidad,L4,40.4437947,-3.6746734
Príncipe Pío,L10,40.4211411,-3.7192943
Príncipe Pío,L6,40.4210451,-3.7191825
Príncipe Pío,R,40.4206322,-3.7201735
Príncipe de Vergara,L2,40.4225211,-3.6805976
Príncipe de Vergara,L9,40.4226047,-3.6804654
Pueblo Nuevo,L5,40.4353594,-3.6433992
Pueblo Nuevo,L7,40.4356435,-3.6447256
Puente de Vallecas,L1,40.3980679,-3.6689877
Puerta de Arganda,L9,40.4012325,-3.5957583
Puerta de Toledo,L5,40.407056,-3.711038
Puerta del Sur,L10,40.3452601,-3.8120156
Puerta del Sur,L12,40.345195,-3.8120195
Puerta del Ángel,L6,40.4138092,-3.7268597
Pío XII,L9,40.4618048,-3.6765497
Quevedo,L2,40.4329607,-3.7045592
Quintana,L5,40.4330946,-3.648133
República Argentina,L6,40.4442467,-3.6845988
Retiro,L2,40.420447,-3.6864129
Reyes Católicos,L10,40.5509489,-3.624052
Ronda de la Comunicación,L10,40.5152261,-3.6623623
Rubén Darío,L5,40.4329846,-3.6896838
Ríos Rosas,L1,40.4415952,-3.7016088
Sainz de Baranda,L6,40.4152839,-3.6695595
Sainz de Baranda,L9,40.41433,-3.6696197
San Bernardo,L2,40.4303184,-3.7054868
San Bernardo,L4,40.4296512,-3.7063574
San Blas,L7,40.4274726,-3.615949
San Cipriano,L9,40.4039375,-3.6035127
San Cristóbal,L3,40.3415747,-3.693745
San Fermín-Orcasur,L3,40.3699862,-3.6944341
San Fernando,L7,40.4244704,-3.5359658
San Francisco,L11,40.3736855,-3.7398321
San Lorenzo,L4,40.4745463,-3.6396509
San Nicasio,L12,40.336694,-3.7767792
Santiago Bernabéu,L10,40.4524365,-3.6907611
Santo Domingo,L2,40.4210306,-3.7081955
Serrano,L4,40.4253113,-3.6865803
Sevilla,L2,40.417751,-3.6999429
Sierra de Guadalupe,L1,40.382605,-3.6249635
Simancas,L7,40.4275264,-3.6229818
Sol,L1,40.4169569,-3.7031982
Sol,L2,40.4170867,-3.7032671
Sol,L3,40.4169053,-3.7039198
Suanzes,L5,40.4408647,-3.6270065
Tetuán,L1,40.4608653,-3.6982584
Tirso de Molina,L1,40.4124068,-3.7042524
Torre Arias,L5,40.4435959,-3.6171013
Tres Olivos,L10,40.5005654,-3.6946962
Tribunal,L1,40.4260669,-3.7012182
Tribunal,L10,40.4265632,-3.7004942
Universidad Rey Juan Carlos,L12,40.3348543,-3.8721344
Urgel,L5,40.3925104,-3.725332
Usera,L6,40.3880557,-3.7056013
Valdeacederas,L1,40.4645454,-3.6950053
Valdebernardo,L9,40.3999006,-3.6214736
Valdecarros,L1,40.3599634,-3.5921671
Valdezarza,L7,40.4648688,-3.7165085
Velázquez,L4,40.4251276,-3.6825954
Ventas,L2,40.4304923,-3.6639077
Ventas,L5,40.4314566,-3.6637613
Ventilla,L9,40.4697754,-3.6963789
Ventura Rodríguez,L3,40.4267497,-3.7133263
Vicente Aleixandre,L6,40.4463586,-3.719294
Vicálvaro,L9,40.4041614,-3.6088841
Villa de Vallecas,L1,40.3794553,-3.6213588
Villaverde Alto,L3,40.3410594,-3.7117741
Villaverde Bajo - Cruce,L3,40.3510057,-3.6928136
Vinateros,L9,40.4102849,-3.6525188
Vista Alegre,L5,40.388772,-3.7400212
Ópera,L2,40.4180427,-3.7093916
Ópera,L5,40.4180064,-3.709486
Ópera,R,40.4178444,-3.7098259
