station_name,line,lat,lon
la Creu Alta,S2,41.5548813,2.1004191
la Floresta,S1,41.4450863,2.0733815
la Floresta,S2,41.4446807,2.0730797
la Floresta,Unknown,41.4450863,2.0733815
la Salut,L10 Nord,41.4427776,2.2246684
les Corts,L3,41.3841392,2.1308387
les Planes,S1,41.4275142,2.0917069
les Planes,S2,41.4267592,2.0918654
les Tres Torres,L6,41.397748,2.1312004
les Tres Torres,S1,41.397799,2.1312106
les Tres Torres,S2,41.397748,2.1312004
les Tres Torres,Unknown,41.397799,2.1312106
