network,transport_type,stop_name,lat,lon,lines,cor_metro_bilbao,cor_metro_madrid,cor_fgc,cor_renfe_cercanias,cor_euskotren,platform_coords_by_line
Euskotren,tren,Sondika,43.298293,-2.927764,E3; E3a; FCC,,,,,,"FCC:[43.298278,-2.928255]; E3:[43.298278,-2.928255|43.298351,-2.928092]; E3a:[43.298351,-2.928092]"
Euskotren,tren,Muxika,43.286788,-2.689493,E4; FCC,,,,,,"FCC:[43.286718,-2.689477]; E4:[43.286718,-2.689477]"
Euskotren,tren,Matiko-Bilbao,43.268919,-2.925007,E1; E3; E4; FCC; L3,,,,,,"FCC:[43.268994,-2.925550]; E3:[43.269054,-2.925537|43.268994,-2.925550]; E1:[43.269054,-2.925537|43.268994,-2.925550]; E4:[43.268994,-2.925550]; L3:[43.269054,-2.925537]"
Euskotren,tren,Zuhatzu-Galdakao,43.228896,-2.853572,E1; E4; FCC,,,,,,"FCC:[43.228832,-2.854063]; E1:[43.228744,-2.854032|43.228832,-2.854063]; E4:[43.228832,-2.854063]"
Euskotren,tren,Itsasbegi-Busturia,43.391100,-2.693867,E4; FCC,,,,,,"FCC:[43.390987,-2.693788]; E4:[43.390987,-2.693788]"
Euskotren,tren,Berriz,43.168405,-2.574515,E1; FCC,,,,,,"FCC:[43.168470,-2.574475]; E1:[43.168413,-2.574413|43.168470,-2.574475]"
Euskotren,tren,Larrondo-Loiu,43.294299,-2.915778,E3; FCC,,,,,,"FCC:[43.294342,-2.915939]; E3:[43.294300,-2.915560|43.294342,-2.915939]"
Euskotren,tren,Errotabarri-Ermua,43.183140,-2.498927,E1,,,,,,"E1:[43.183154,-2.498774]"
Euskotren,tren,Traña-Abadiño,43.165337,-2.612701,E1; FCC,,,,,,"FCC:[43.165119,-2.611999]; E1:[43.165119,-2.611999|43.165060,-2.612084]"
Euskotren,tren,Zumaia,43.291603,-2.251818,E1; FCC,,,,,,"FCC:[43.291570,-2.251655]; E1:[43.291570,-2.251655]"
Euskotren,tren,Euba-Amorebieta,43.194827,-2.696740,E1; FCC,,,,,,"FCC:[43.194602,-2.696809]; E1:[43.194602,-2.696809|43.194532,-2.696881]"
Euskotren,tren,Lezama,43.273257,-2.835634,E3; FCC,,,,,,"FCC:[43.273509,-2.835955]; E3:[43.273509,-2.835955]"
Euskotren,tren,Loiola-Donostia,43.310096,-1.968305,E2; E5; FCC,,,,,,"E5:[43.310455,-1.968129|43.310392,-1.968091]; FCC:[43.310392,-1.968091]; E2:[43.310455,-1.968129|43.310392,-1.968091]"
Euskotren,tren,Txurdinaga-Bilbao,43.258051,-2.906729,E1; E3; E4; FCC; L3,,,,,,"FCC:[43.258070,-2.906710]; E3:[43.258070,-2.906710]; E1:[43.258070,-2.906710]; E4:[43.258070,-2.906710]; L3:[43.258070,-2.906710]"
Euskotren,tren,Galtzaraborda-Errenteria,43.312407,-1.906850,E2,,,,,,"E2:[43.312364,-1.906789|43.312398,-1.906808]"
Euskotren,tren,Zangroiz-Sondika,43.300349,-2.940859,E3a,,,,,,"E3a:[43.300303,-2.940957]"
Euskotren,tren,Oiartzun,43.308619,-1.879725,E2,,,,,,"E2:[43.308662,-1.879714]"
Euskotren,tren,Arroa-Zestoa,43.278008,-2.270856,E1,,,,,,"E1:[43.278328,-2.270813]"
Euskotren,tren,Derio,43.290827,-2.887276,E3; FCC,,,,,,"FCC:[43.290916,-2.887485]; E3:[43.290916,-2.887485]"
Euskotren,tren,Axpe-Busturia,43.380106,-2.693181,E4; FCC,,,,,,"FCC:[43.380121,-2.693045]; E4:[43.380121,-2.693045]"
Euskotren,tren,Mundaka,43.408870,-2.700911,E4; FCC,,,,,,"FCC:[43.408842,-2.701085]; E4:[43.408842,-2.701085]"
Euskotren,tren,Zurbaranbarri-Bilbao,43.264911,-2.914977,E1; E3; E4; FCC; L3,,,,,,"FCC:[43.264950,-2.914971]; E3:[43.264950,-2.914971]; E1:[43.264950,-2.914971]; E4:[43.264950,-2.914971]; L3:[43.264950,-2.914971]"
Euskotren,tren,Durango,43.169457,-2.634787,E1; FCC,,,,,,"FCC:[43.169488,-2.634781]; E1:[43.169488,-2.634781]"
Euskotren,tren,Eibar,43.186939,-2.465641,E1,,,,,,"E1:[43.187135,-2.465416|43.187138,-2.465732]"
Euskotren,tren,Bedia,43.206171,-2.798030,E1; E4; FCC,,,,,,"FCC:[43.206160,-2.797581]; E1:[43.206160,-2.797581|43.206089,-2.797610]; E4:[43.206160,-2.797581]"
Euskotren,tren,Lugaritz-Donostia,43.302417,-2.000701,E1; E2; FCC,,,,,,"FCC:[43.302499,-2.000706]; E2:[43.302499,-2.000706]; E1:[43.302499,-2.000706]"
Euskotren,tren,Elgoibar,43.213608,-2.415941,E1,,,,,,"E1:[43.213428,-2.416005]"
Euskotren,tren,Herrera-Donostia,43.319883,-1.937971,E2; E5; FCC,,,,Herrera (97m),,"E5:[43.319817,-1.938105]; FCC:[43.319817,-1.938105]; E2:[43.319817,-1.938105]"
Euskotren,tren,Fanderia-Errenteria,43.308228,-1.889437,E2,,,,,,"E2:[43.308263,-1.889238]"
Euskotren,tren,Altzola-Elgoibar,43.235874,-2.399523,E1,,,,,,"E1:[43.235866,-2.399513]"
Euskotren,tren,San Lorentzo-Ermua,43.179425,-2.495861,E1,,,,,,"E1:[43.179443,-2.495737]"
Euskotren,tren,Elotxelerri-Loiu,43.294479,-2.905664,E3; FCC,,,,,,"FCC:[43.294429,-2.905925]; E3:[43.294429,-2.905925]"
Euskotren,tren,Altza-Donostia,43.316946,-1.930062,E5; FCC,,,,,,"E5:[43.316955,-1.930058]; FCC:[43.316955,-1.930058]"
Euskotren,tren,Bentak-Irun,43.330398,-1.816814,E2,,,,Ventas De Irún (3m),,"E2:[43.330332,-1.817012|43.330410,-1.817055]"
Euskotren,tren,Deba,43.293616,-2.355378,E1,,,,,,"E1:[43.294045,-2.355531]"
Euskotren,tren,Amaña-Eibar,43.184398,-2.480569,E1,,,,,,"E1:[43.184597,-2.480531]"
Euskotren,tren,Belaskoenea-Irun,43.336498,-1.803270,E2,,,,,,"E2:[43.336525,-1.803769]"
Euskotren,tren,Amorebieta Geltokia,43.216878,-2.736627,E1; E4; FCC,,,,,,"FCC:[43.216702,-2.736223]; E1:[43.216606,-2.736301|43.216702,-2.736223]; E4:[43.216702,-2.736223]"
Euskotren,tren,Kurtzea-Lezama,43.276579,-2.846344,E3; FCC,,,,,,"FCC:[43.276584,-2.846415]; E3:[43.276584,-2.846415|43.276627,-2.846307]"
Euskotren,tren,Kukullaga-Etxebarri,43.251142,-2.889764,E1; E3; E4; FCC; L3,,,,,,"FCC:[43.251034,-2.889611]; E3:[43.250996,-2.889755|43.251034,-2.889611]; E1:[43.250996,-2.889755|43.251034,-2.889611]; E4:[43.251034,-2.889611]; L3:[43.250996,-2.889755]"
Euskotren,tren,Azitain-Eibar,43.190407,-2.454190,E1,,,,,,"E1:[43.190411,-2.454957]"
Euskotren,tren,Uribarri-Bilbao,43.267102,-2.921277,E1; E3; E4; FCC; L3,,,,,,"FCC:[43.267223,-2.921325]; E3:[43.267223,-2.921325]; E1:[43.267223,-2.921325]; E4:[43.267223,-2.921325]; L3:[43.267223,-2.921325]"
Euskotren,tren,Zamudio,43.284342,-2.864839,E3; FCC,,,,,,"FCC:[43.284282,-2.865212]; E3:[43.284282,-2.865212]"
Euskotren,tren,Forua,43.332384,-2.673426,E4; FCC,,,,,,"FCC:[43.332041,-2.673636]; E4:[43.332041,-2.673636]"
Euskotren,tren,Gernika,43.314559,-2.676106,E4; FCC,,,,,,"FCC:[43.314085,-2.676208]; E4:[43.314085,-2.676208]"
Euskotren,tren,Ariz-Basauri,43.240313,-2.879282,E1; E4; FCC,,,,,,"FCC:[43.239970,-2.879000]; E1:[43.239970,-2.879000|43.239954,-2.879121]; E4:[43.239970,-2.879000]"
Euskotren,tren,Añorga-Donostia,43.291513,-1.994673,E1; E2; FCC,,,,,,"FCC:[43.291618,-1.994592]; E2:[43.291618,-1.994592]; E1:[43.291618,-1.994592]"
Euskotren,tren,Intxaurrondo-Donostia,43.314909,-1.954756,E2; E5; FCC,,,,,,"E5:[43.314087,-1.954786|43.314244,-1.954914]; FCC:[43.314244,-1.954914]; E2:[43.314087,-1.954786|43.314244,-1.954914]"
Euskotren,tren,Ficoba-Irun,43.349495,-1.786201,E2,,,,,,"E2:[43.348964,-1.786877]"
Euskotren,tren,Mendaro,43.252152,-2.387913,E1,,,,,,"E1:[43.252281,-2.388031]"
Euskotren,tren,Errekalde-Donostia,43.278846,-2.007148,E1; E2; FCC,,,,,,"FCC:[43.278740,-2.007477]; E2:[43.278740,-2.007477]; E1:[43.278740,-2.007477]"
Euskotren,tren,Lekunbiz-Zamudio,43.286699,-2.874526,E3; FCC,,,,,,"FCC:[43.286718,-2.874588]; E3:[43.286718,-2.874588]"
Euskotren,tren,Usurbil,43.268748,-2.052937,E1; FCC,,,,,,"FCC:[43.268631,-2.052824]; E1:[43.268631,-2.052824]"
Euskotren,tren,Gaintxurizketa-Lezo,43.326710,-1.857557,E2,,,,,,"E2:[43.326637,-1.857836|43.326663,-1.857643]"
Euskotren,tren,Zaldibar,43.171641,-2.547899,E1; FCC,,,,,,"FCC:[43.171629,-2.548298]; E1:[43.171629,-2.548298]"
Euskotren,tren,Ardantza-Eibar,43.184641,-2.473832,E1,,,,,,"E1:[43.184739,-2.473875]"
Euskotren,tren,Zugaztieta-Muxika,43.252154,-2.692748,E4; FCC,,,,,,"FCC:[43.252165,-2.692708]; E4:[43.252165,-2.692708]"
Euskotren,tren,Toletxegain-Elgoibar,43.217481,-2.409036,E1,,,,,,"E1:[43.217788,-2.408536]"
Euskotren,tren,San Kristobal-Busturia,43.367813,-2.690337,E4; FCC,,,,,,"FCC:[43.367768,-2.690299]; E4:[43.367768,-2.690299]"
Euskotren,tren,Usansolo,43.217819,-2.821656,E1; E4; FCC,,,,,,"FCC:[43.217648,-2.821493]; E1:[43.217620,-2.821632|43.217648,-2.821493]; E4:[43.217648,-2.821493]"
Euskotren,tren,Otxarkoaga-Bilbao,43.259503,-2.900123,E1; E3; E4; FCC; L3,,,,,,"FCC:[43.259593,-2.900150]; E3:[43.259593,-2.900150]; E1:[43.259593,-2.900150]; E4:[43.259593,-2.900150]; L3:[43.259593,-2.900150]"
Euskotren,tren,Zarautz,43.284252,-2.171450,E1; FCC,,,,,,"FCC:[43.284259,-2.171231]; E1:[43.284259,-2.171231]"
Euskotren,tren,Errenteria,43.311307,-1.899174,E2,,,,,,"E2:[43.311104,-1.899056|43.311137,-1.898980]"
Euskotren,tren,Ermua,43.185235,-2.501026,E1,,,,,,"E1:[43.184646,-2.501193]"
Euskotren,tren,Pasaia,43.317912,-1.917488,E2,,,,Pasaia (117m),,"E2:[43.318066,-1.917609|43.318118,-1.917572]"
Euskotren,tranvia,Hegoalde,42.838825,-2.666329,41; TG1,,,,,,"41:[42.838825,-2.666329]; TG1:[42.838825,-2.666329]"
Euskotren,tranvia,Florida,42.842071,-2.665088,41; TG1; TG2,,,,,,"41:[42.842071,-2.665088]; TG2:[42.842071,-2.665088]; TG1:[42.842071,-2.665088]"
Euskotren,tranvia,Unibertsitatea,42.837364,-2.672430,41; TG1,,,,,,"41:[42.837364,-2.672430]; TG1:[42.837364,-2.672430]"
Euskotren,tranvia,Abusu,43.245503,-2.915783,TR,,,,,,"TR:[43.245503,-2.915783]"
Euskotren,tranvia,Bolueta,43.247252,-2.904919,TR,Bolueta (71m),,,,,"TR:[43.247252,-2.904919]"
Euskotren,tranvia,Salburua,42.854489,-2.651874,TG2,,,,,,"TG2:[42.854489,-2.651874]"
Euskotren,tranvia,La Unión,42.849156,-2.650589,TG2,,,,,,"TG2:[42.849156,-2.650589]"
Euskotren,tranvia,Santa Luzia,42.841606,-2.658713,TG2,,,,,,"TG2:[42.841606,-2.658713]"
Euskotren,tranvia,Iliada,42.843377,-2.651488,TG2,,,,,,"TG2:[42.843377,-2.651488]"
Euskotren,tranvia,Nikosia,42.845215,-2.649645,TG2,,,,,,"TG2:[42.845215,-2.649645]"
Metro Bilbao,metro,Santurtzi,43.328950,-3.034210,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.328950,-3.034210]"
Metro Bilbao,metro,Zazpikaleak/Casco Viejo,43.259680,-2.920710,Línea De Metro Bilbao,,,,,Zazpikaleak/Casco Viejo-Bilbao (125m),"Línea De Metro Bilbao:[43.259680,-2.920710]"
Metro Bilbao,metro,Astrabudua,43.314630,-2.986810,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.314630,-2.986810]"
Metro Bilbao,metro,Ibarbengoa,43.363200,-3.006990,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.363200,-3.006990]"
Metro Bilbao,metro,Gurutzeta/Cruces,43.283010,-2.982450,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.283010,-2.982450]"
Metro Bilbao,metro,Barakaldo,43.295630,-2.989360,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.295630,-2.989360]"
Metro Bilbao,metro,Ariz,43.238010,-2.882030,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.238010,-2.882030]"
Metro Bilbao,metro,Moyua,43.262590,-2.933080,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.262590,-2.933080]"
Metro Bilbao,metro,Erandio,43.303380,-2.974370,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.303380,-2.974370]"
Metro Bilbao,metro,Leioa,43.317880,-2.991680,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.317880,-2.991680]"
Metro Bilbao,metro,Urduliz,43.379000,-2.958110,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.379000,-2.958110]"
Metro Bilbao,metro,Bagatza,43.298850,-2.992680,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.298850,-2.992680]"
Metro Bilbao,metro,Kabiezes,43.322380,-3.037770,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.322380,-3.037770]"
Metro Bilbao,metro,Peñota,43.321980,-3.025400,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.321980,-3.025400]"
Metro Bilbao,metro,Abatxolo,43.314360,-3.013570,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.314360,-3.013570]"
Metro Bilbao,metro,Santimami/San Mamés,43.262520,-2.947510,Línea De Metro Bilbao,,,,San Mamés (153m),San Mames (144m); Sabino Arana (128m),"Línea De Metro Bilbao:[43.262520,-2.947510]"
Metro Bilbao,metro,Deustu,43.271450,-2.949540,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.271450,-2.949540]"
Metro Bilbao,metro,Areeta,43.325950,-3.009610,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.325950,-3.009610]"
Metro Bilbao,metro,Bidezabal,43.356440,-3.011270,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.356440,-3.011270]"
Metro Bilbao,metro,Ansio,43.289190,-2.987160,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.289190,-2.987160]"
Metro Bilbao,metro,Sestao,43.309120,-3.005670,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.309120,-3.005670]"
Metro Bilbao,metro,Portugalete,43.317770,-3.020760,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.317770,-3.020760]"
Metro Bilbao,metro,Neguri,43.340240,-3.005620,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.340240,-3.005620]"
Metro Bilbao,metro,Basauri,43.236240,-2.893400,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.236240,-2.893400]"
Metro Bilbao,metro,Bolueta,43.247000,-2.905730,Línea De Metro Bilbao,,,,,Bolueta (71m),"Línea De Metro Bilbao:[43.247000,-2.905730]"
Metro Bilbao,metro,Santutxu,43.254300,-2.913350,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.254300,-2.913350]"
Metro Bilbao,metro,Indautxu,43.261270,-2.941790,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.261270,-2.941790]"
Metro Bilbao,metro,San Ignazio,43.280680,-2.962390,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.280680,-2.962390]"
Metro Bilbao,metro,Lutxana,43.290980,-2.969920,Línea De Metro Bilbao,,,,,Lutxana-Erandio (39m),"Línea De Metro Bilbao:[43.290980,-2.969920]"
Metro Bilbao,metro,Gobela,43.333080,-3.007350,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.333080,-3.007350]"
Metro Bilbao,metro,Aiboa,43.344140,-3.002670,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.344140,-3.002670]"
Metro Bilbao,metro,Larrabasterra,43.375730,-2.991470,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.375730,-2.991470]"
Metro Bilbao,metro,Sopela,43.380210,-2.978990,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.380210,-2.978990]"
Metro Bilbao,metro,Abando,43.261400,-2.927610,Línea De Metro Bilbao,,,,Bilbao La Concordia (167m); Bilbao-Intermod. Abando Indalecio Prieto (160m),Abando (86m); Arriaga (292m),"Línea De Metro Bilbao:[43.261400,-2.927610]"
Metro Bilbao,metro,Sarriko,43.274950,-2.958740,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.274950,-2.958740]"
Metro Bilbao,metro,Lamiako,43.321330,-3.001020,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.321330,-3.001020]"
Metro Bilbao,metro,Plentzia,43.401340,-2.946360,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.401340,-2.946360]"
Metro Bilbao,metro,Etxebarri,43.243860,-2.897710,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.243860,-2.897710]"
Metro Bilbao,metro,Basarrate,43.251160,-2.910820,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.251160,-2.910820]"
Metro Bilbao,metro,Algorta,43.350450,-3.009350,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.350450,-3.009350]"
Metro Bilbao,metro,Berango,43.367040,-2.999490,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.367040,-2.999490]"
Metro Bilbao,metro,Urbinaga,43.305700,-2.992600,Línea De Metro Bilbao,,,,,,"Línea De Metro Bilbao:[43.305700,-2.992600]"
FGC,metro/tren,Barcelona - Plaça Catalunya,41.385632,2.168720,L6; L7; S1; S2,,,,Barcelona-Plaça De Catalunya (267m),,"L6:[41.385632,2.168720]; S1:[41.385632,2.168720]; S2:[41.385632,2.168720]; L7:[41.385632,2.168720]"
FGC,metro/tren,Provença,41.392814,2.158031,L6; L7; S1; S2,,,,,,"L6:[41.392814,2.158031]; S2:[41.392814,2.158031]; S1:[41.392814,2.158031]; L7:[41.392814,2.158031]"
FGC,metro/tren,Gràcia,41.399098,2.152662,L6; L7; S1; S2,,,,,,"L6:[41.399098,2.152662]; S1:[41.399098,2.152662]; S2:[41.399098,2.152662]; L7:[41.399098,2.152662]"
FGC,metro/tren,Sant Gervasi,41.401066,2.147134,L6; S1; S2,,,,,,"L6:[41.401066,2.147134]; S1:[41.401066,2.147134]; S2:[41.401066,2.147134]"
FGC,metro/tren,Muntaner,41.398526,2.142346,L6; S1; S2,,,,,,"L6:[41.398526,2.142346]; S1:[41.398526,2.142346]; S2:[41.398526,2.142346]"
FGC,metro/tren,La Bonanova,41.397816,2.136434,L6; S1; S2,,,,,,"L6:[41.397816,2.136434]; S1:[41.397816,2.136434]; S2:[41.397816,2.136434]"
FGC,metro/tren,Les Tres Torres,41.397800,2.130812,L6; S1; S2,,,,,,"L6:[41.397800,2.130812]; S1:[41.397800,2.130812]; S2:[41.397800,2.130812]"
FGC,metro/tren,Sarrià,41.398499,2.125575,L12; L6; S1; S2,,,,,,"L12:[41.398499,2.125575]; L6:[41.398499,2.125575]; S1:[41.398499,2.125575]; S2:[41.398499,2.125575]"
FGC,metro,Reina Elisenda,41.398746,2.118932,L12,,,,,,"L12:[41.398746,2.118932]"
FGC,metro,Pl. Molina,41.401694,2.146755,L7,,,,,,"L7:[41.401694,2.146755]"
FGC,metro,Pàdua,41.403511,2.142759,L7,,,,,,"L7:[41.403511,2.142759]"
FGC,metro,El Putxet,41.405826,2.139151,L7,,,,,,"L7:[41.405826,2.139151]"
FGC,metro,Av. Tibidabo,41.409648,2.137163,L7,,,,,,"L7:[41.409648,2.137163]"
FGC,tren,Peu del Funicular,41.409216,2.111182,S1; S2,,,,,,"S1:[41.409216,2.111182]; S2:[41.409216,2.111182]"
FGC,funicular,Vallvidrera Superior,41.414112,2.105816,FV,,,,,,"FV:[41.414112,2.105816]"
FGC,tren,Baixador de Vallvidrera,41.420094,2.096937,S1; S2,,,,,,"S1:[41.420094,2.096937]; S2:[41.420094,2.096937]"
FGC,tren,Les Planes,41.427403,2.091618,S1; S2,,,,,,"S1:[41.427403,2.091618]; S2:[41.427403,2.091618]"
FGC,tren,La Floresta,41.444874,2.073166,S1; S2,,,,,,"S1:[41.444874,2.073166]; S2:[41.444874,2.073166]"
FGC,tren,Valldoreix,41.457842,2.068312,S1; S2,,,,,,"S1:[41.457842,2.068312]; S2:[41.457842,2.068312]"
FGC,tren,Sant Cugat Centre,41.467910,2.078203,S1; S2,,,,,,"S1:[41.467910,2.078203]; S2:[41.467910,2.078203]"
FGC,tren,Mira-Sol,41.469369,2.061381,S1,,,,,,"S1:[41.469369,2.061381]"
FGC,tren,Hospital General,41.476209,2.046515,S1,,,,,,"S1:[41.476209,2.046515]"
FGC,tren,Rubí Centre,41.486288,2.031358,S1,,,,,,"S1:[41.486288,2.031358]"
FGC,tren,Les Fonts,41.528470,2.033582,S1,,,,,,"S1:[41.528470,2.033582]"
FGC,tren,Terrassa - Rambla,41.559746,2.007525,S1,,,,,,"S1:[41.559746,2.007525]"
FGC,tren,Volpelleres,41.481248,2.072928,S2,,,,,,"S2:[41.481248,2.072928]"
FGC,tren,Sant Joan,41.490154,2.076499,S2,,,,,,"S2:[41.490154,2.076499]"
FGC,tren,Bellaterra,41.500858,2.090557,S2,,,,,,"S2:[41.500858,2.090557]"
FGC,tren,Universitat Autònoma,41.502853,2.102510,S2,,,,,,"S2:[41.502853,2.102510]"
FGC,tren,Sant Quirze,41.529992,2.088723,S2,,,,,,"S2:[41.529992,2.088723]"
FGC,tren,Vallparadís Universitat,41.563306,2.019049,S1,,,,,,"S1:[41.563306,2.019049]"
FGC,tren,Terrassa  Estació del nord,41.570167,2.015487,S1,,,,Terrassa Estació Del Nord (103m),,"S1:[41.570167,2.015487]"
FGC,tren,Terrassa Nacions Unides,41.580134,2.013459,S1,,,,,,"S1:[41.580134,2.013459]"
FGC,metro/tren,Barcelona - Plaça Espanya,41.374720,2.148458,L8; R5; R50; R53; R6; R60; R63; S3; S4; S8; S9,,,,,,"L8:[41.374720,2.148458]; S8:[41.374720,2.148458]; R6:[41.374720,2.148458]; R53:[41.374720,2.148458]; S3:[41.374720,2.148458]; R5:[41.374720,2.148458]; R63:[41.374720,2.148458]; S4:[41.374720,2.148458]; S9:[41.374720,2.148458]; R50:[41.374720,2.148458]; R60:[41.374720,2.148458]"
FGC,metro/tren,Magòria La Campana,41.367488,2.138879,L8; R5; R53; R6; R63; S3; S4; S8; S9,,,,,,"L8:[41.367488,2.138879]; S8:[41.367488,2.138879]; R6:[41.367488,2.138879]; S3:[41.367488,2.138879]; R5:[41.367488,2.138879]; S4:[41.367488,2.138879]; S9:[41.367488,2.138879]; R53:[41.367488,2.138879]; R63:[41.367488,2.138879]"
FGC,metro/tren,Ildefons Cerdà,41.360909,2.130023,L8; R5; R50; R53; R6; R60; R63; S3; S4; S8; S9,,,,,,"L8:[41.360909,2.130023]; S8:[41.360909,2.130023]; R50:[41.360909,2.130023]; R6:[41.360909,2.130023]; R60:[41.360909,2.130023]; S3:[41.360909,2.130023]; R5:[41.360909,2.130023]; S4:[41.360909,2.130023]; S9:[41.360909,2.130023]; R53:[41.360909,2.130023]; R63:[41.360909,2.130023]"
FGC,metro/tren,Gornal,41.354886,2.117432,L8; R5; R50; R53; R6; R60; R63; S3; S4; S8; S9,,,,Bellvitge-Gornal (180m),,"L8:[41.354886,2.117432]; S8:[41.354886,2.117432]; R50:[41.354886,2.117432]; R6:[41.354886,2.117432]; R60:[41.354886,2.117432]; S3:[41.354886,2.117432]; R5:[41.354886,2.117432]; S4:[41.354886,2.117432]; S9:[41.354886,2.117432]; R53:[41.354886,2.117432]; R63:[41.354886,2.117432]"
FGC,metro/tren,Sant Josep,41.360701,2.109917,L8; R5; R50; R53; R6; R60; R63; S3; S4; S8; S9,,,,,,"L8:[41.360701,2.109917]; S8:[41.360701,2.109917]; R50:[41.360701,2.109917]; R6:[41.360701,2.109917]; R60:[41.360701,2.109917]; S3:[41.360701,2.109917]; R5:[41.360701,2.109917]; S4:[41.360701,2.109917]; S9:[41.360701,2.109917]; R53:[41.360701,2.109917]; R63:[41.360701,2.109917]"
FGC,metro/tren,L'Hospitalet Av. Carrilet,41.357934,2.102710,L8; R5; R50; R53; R6; R60; R63; S3; S4; S8; S9,,,,,,"L8:[41.357934,2.102710]; S8:[41.357934,2.102710]; R50:[41.357934,2.102710]; R6:[41.357934,2.102710]; R60:[41.357934,2.102710]; S3:[41.357934,2.102710]; R5:[41.357934,2.102710]; S4:[41.357934,2.102710]; S9:[41.357934,2.102710]; R53:[41.357934,2.102710]; R63:[41.357934,2.102710]"
FGC,metro/tren,Almeda,41.353067,2.085251,L8; R5; R50; R53; R6; R60; R63; S3; S4; S8; S9,,,,,,"L8:[41.353067,2.085251]; S8:[41.353067,2.085251]; R50:[41.353067,2.085251]; R6:[41.353067,2.085251]; R60:[41.353067,2.085251]; S3:[41.353067,2.085251]; R5:[41.353067,2.085251]; S4:[41.353067,2.085251]; S9:[41.353067,2.085251]; R53:[41.353067,2.085251]; R63:[41.353067,2.085251]"
FGC,metro/tren,Cornellà Riera,41.351478,2.071264,L8; R5; R50; R53; R6; R60; R63; S3; S4; S8; S9,,,,,,"L8:[41.351478,2.071264]; S8:[41.351478,2.071264]; R50:[41.351478,2.071264]; R6:[41.351478,2.071264]; R60:[41.351478,2.071264]; S3:[41.351478,2.071264]; R5:[41.351478,2.071264]; S4:[41.351478,2.071264]; S9:[41.351478,2.071264]; R53:[41.351478,2.071264]; R63:[41.351478,2.071264]"
FGC,metro/tren,Sant Boi,41.348561,2.042856,L8; R5; R50; R53; R6; R60; R63; S3; S4; S8; S9,,,,,,"L8:[41.348561,2.042856]; S8:[41.348561,2.042856]; R50:[41.348561,2.042856]; R6:[41.348561,2.042856]; R60:[41.348561,2.042856]; S3:[41.348561,2.042856]; R5:[41.348561,2.042856]; S4:[41.348561,2.042856]; S9:[41.348561,2.042856]; R53:[41.348561,2.042856]; R63:[41.348561,2.042856]"
FGC,metro/tren,Europa | Fira,41.356559,2.124199,L8; R5; R50; R53; R6; R60; R63; S3; S4; S8; S9,,,,,,"L8:[41.356559,2.124199]; S8:[41.356559,2.124199]; R50:[41.356559,2.124199]; R6:[41.356559,2.124199]; R60:[41.356559,2.124199]; S3:[41.356559,2.124199]; R5:[41.356559,2.124199]; S4:[41.356559,2.124199]; S9:[41.356559,2.124199]; R53:[41.356559,2.124199]; R63:[41.356559,2.124199]"
