network,transport_type,stop_name,lat,lon,lines,cor_metro_bilbao,cor_metro_madrid,cor_fgc,cor_renfe_cercanias,cor_euskotren,platform_coords_by_line
Renfe Cercanías,cercanias,Sant Jordi Desvalls,42.068302,2.964477,R11; R2N; RG1,,,,,,"R2N:[42.068302,2.964477]; R11:[42.068302,2.964477]; RG1:[42.068302,2.964477]"
Renfe Cercanías,cercanias,Camallera,42.122330,2.965365,R11; R2N; RG1,,,,,,"R2N:[42.122330,2.965365]; R11:[42.122330,2.965365]; RG1:[42.122330,2.965365]"
Renfe Cercanías,cercanias,Sant Miquel De Fluvià,42.172102,2.989598,R11; R2N; RG1,,,,,,"R2N:[42.172102,2.989598]; R11:[42.172102,2.989598]; RG1:[42.172102,2.989598]"
Renfe Cercanías,cercanias,Vilamalla,42.216362,2.977764,R11; R2N; RG1,,,,,,"R2N:[42.216362,2.977764]; R11:[42.216362,2.977764]; RG1:[42.216362,2.977764]"
Renfe Cercanías,cercanias,Figueres,42.265113,2.968801,R11; R2N; RG1,,,,,,"R2N:[42.265113,2.968801]; R11:[42.265113,2.968801]; RG1:[42.265113,2.968801]"
Renfe Cercanías,cercanias,Vilajuïga,42.325669,3.087546,R11; R2N; RG1,,,,,,"R2N:[42.325669,3.087546]; R11:[42.325669,3.087546]; RG1:[42.325669,3.087546]"
Renfe Cercanías,cercanias,Llançà,42.366619,3.148975,R11; R2N; RG1,,,,,,"R2N:[42.366619,3.148975]; R11:[42.366619,3.148975]; RG1:[42.366619,3.148975]"
Renfe Cercanías,cercanias,Colera,42.406884,3.154343,R11; R2N; RG1,,,,,,"R2N:[42.406884,3.154343]; R11:[42.406884,3.154343]; RG1:[42.406884,3.154343]"
Renfe Cercanías,cercanias,Portbou,42.424591,3.158018,R11; R2N; RG1,,,,,,"R2N:[42.424591,3.158018]; R11:[42.424591,3.158018]; RG1:[42.424591,3.158018]"
Renfe Cercanías,cercanias,Cerbère,42.441664,3.163149,R11,,,,,,"R11:[42.441664,3.163149]"
Renfe Cercanías,cercanias,Barcelona Estació De França,41.384487,2.185348,R13; R14; R15; R16; R17; R2N; R2S,,,,,,"R15:[41.384487,2.185348]; R2N:[41.384487,2.185348]; R17:[41.384487,2.185348]; R2S:[41.384487,2.185348]; R14:[41.384487,2.185348]; R13:[41.384487,2.185348]; R16:[41.384487,2.185348]"
Renfe Cercanías,cercanias,Sant Adrià De Besòs,41.424432,2.230482,R1; R2N,,,,,,"R2N:[41.424432,2.230482]; R1:[41.424432,2.230482]"
Renfe Cercanías,cercanias,Badalona,41.445884,2.248921,R1; R2N,,,,,,"R2N:[41.445884,2.248921]; R1:[41.445884,2.248921]"
Renfe Cercanías,cercanias,Montgat,41.463021,2.272155,R1; R2N,,,,,,"R2N:[41.463021,2.272155]; R1:[41.463021,2.272155]"
Renfe Cercanías,cercanias,Montgat-Nord,41.468786,2.286697,R1; R2N,,,,,,"R2N:[41.468786,2.286697]; R1:[41.468786,2.286697]"
Renfe Cercanías,cercanias,El Masnou,41.477036,2.310377,R1; R2N,,,,,,"R2N:[41.477036,2.310377]; R1:[41.477036,2.310377]"
Renfe Cercanías,cercanias,Ocata,41.479021,2.319533,R1; R2N,,,,,,"R2N:[41.479021,2.319533]; R1:[41.479021,2.319533]"
Renfe Cercanías,cercanias,Premià De Mar,41.487752,2.354856,R1; R2N,,,,,,"R2N:[41.487752,2.354856]; R1:[41.487752,2.354856]"
Renfe Cercanías,cercanias,Vilassar De Mar,41.500628,2.389861,R1; R2N,,,,,,"R2N:[41.500628,2.389861]; R1:[41.500628,2.389861]"
Renfe Cercanías,cercanias,Cabrera De Mar-Vilassar De Mar,41.506772,2.401624,R1; R2N,,,,,,"R2N:[41.506772,2.401624]; R1:[41.506772,2.401624]"
Renfe Cercanías,cercanias,Mataró,41.533385,2.445530,R1; R2N,,,,,,"R2N:[41.533385,2.445530]; R1:[41.533385,2.445530]"
Renfe Cercanías,cercanias,Sant Andreu De Llavaneres,41.555547,2.498265,R1; R2N,,,,,,"R2N:[41.555547,2.498265]; R1:[41.555547,2.498265]"
Renfe Cercanías,cercanias,Caldes D'estrac,41.568608,2.525981,R1; R2N,,,,,,"R2N:[41.568608,2.525981]; R1:[41.568608,2.525981]"
Renfe Cercanías,cercanias,Arenys De Mar,41.577699,2.549337,R1; R2N,,,,,,"R2N:[41.577699,2.549337]; R1:[41.577699,2.549337]"
Renfe Cercanías,cercanias,Canet De Mar,41.586669,2.581289,R1; R2N,,,,,,"R2N:[41.586669,2.581289]; R1:[41.586669,2.581289]"
Renfe Cercanías,cercanias,Sant Pol De Mar,41.601755,2.624598,R1; R2N,,,,,,"R2N:[41.601755,2.624598]; R1:[41.601755,2.624598]"
Renfe Cercanías,cercanias,Calella,41.614691,2.665995,R1; R2N,,,,,,"R2N:[41.614691,2.665995]; R1:[41.614691,2.665995]"
Renfe Cercanías,cercanias,Pineda De Mar,41.622445,2.693550,R1; R2N,,,,,,"R2N:[41.622445,2.693550]; R1:[41.622445,2.693550]"
Renfe Cercanías,cercanias,Malgrat De Mar,41.641602,2.741279,R1; R2N,,,,,,"R2N:[41.641602,2.741279]; R1:[41.641602,2.741279]"
Renfe Cercanías,cercanias,Blanes,41.673616,2.769270,R1; R2N,,,,,,"R2N:[41.673616,2.769270]; R1:[41.673616,2.769270]"
Renfe Cercanías,cercanias,Tordera,41.707169,2.719571,R1; R2N,,,,,,"R2N:[41.707169,2.719571]; R1:[41.707169,2.719571]"
Renfe Cercanías,cercanias,Santa Susana,41.630097,2.715970,R1; R2N,,,,,,"R2N:[41.630097,2.715970]; R1:[41.630097,2.715970]"
