network,station_name,station_lat,station_lon,lines,num_platforms,platform_coords
Euskotren,Amaña-Eibar,43.184398,-2.480569,,2,"43.184597,-2.480531|43.184597,-2.480531"
Euskotren,Amorebieta Geltokia,43.216878,-2.736627,,3,"43.216702,-2.736223|43.216606,-2.736301|43.216702,-2.736223"
Euskotren,Amorebieta Geralekua,43.221820,-2.734876,,1,"43.221718,-2.735128"
Euskotren,Angulema,42.843360,-2.667699,,2,"42.84336,-2.667699|42.84336,-2.667699"
Euskotren,Anoeta-Donostia,43.302085,-1.975353,,2,"43.302124,-1.975369|43.302124,-1.975369"
Euskotren,Antso Jakituna/Sancho El Sabio,42.848114,-2.679946,,2,"42.848114,-2.679946|42.848114,-2.679946"
Euskotren,Ardantza-Eibar,43.184641,-2.473832,,2,"43.184739,-2.473875|43.184739,-2.473875"
Euskotren,Ariz-Basauri,43.240313,-2.879282,,2,"43.23997,-2.879|43.239954,-2.879121"
Euskotren,Arriaga,43.259070,-2.925938,,2,"43.25907,-2.925938|43.25907,-2.925938"
Euskotren,Arriaga,42.866638,-2.678658,,2,"42.866638,-2.678658|42.866638,-2.678658"
Euskotren,Arroa-Zestoa,43.278008,-2.270856,,1,"43.278328,-2.270813"
Euskotren,Artapadura,42.869514,-2.680272,,2,"42.869514,-2.680272|42.869514,-2.680272"
Euskotren,Atxuri,43.254113,-2.921513,,1,"43.254113,-2.921513"
Euskotren,Axpe-Busturia,43.380106,-2.693181,,1,"43.380121,-2.693045"
Euskotren,Azitain-Eibar,43.190407,-2.454190,,2,"43.190411,-2.454957|43.190411,-2.454957"
Euskotren,Añorga-Donostia,43.291513,-1.994673,,2,"43.291618,-1.994592|43.291618,-1.994592"
Euskotren,Basurto,43.257993,-2.949072,,2,"43.257993,-2.949072|43.257993,-2.949072"
Euskotren,Bedia,43.206171,-2.798030,,2,"43.20616,-2.797581|43.206089,-2.79761"
Euskotren,Belaskoenea-Irun,43.336498,-1.803270,,1,"43.336525,-1.803769"
Euskotren,Bentak-Irun,43.330398,-1.816814,,2,"43.330332,-1.817012|43.33041,-1.817055"
Euskotren,Bermeo,43.417771,-2.723233,,1,"43.417659,-2.723231"
Euskotren,Berriz,43.168405,-2.574515,,2,"43.16847,-2.574475|43.168413,-2.574413"
Euskotren,Bolueta,43.247252,-2.904919,,2,"43.247252,-2.904919|43.247252,-2.904919"
Euskotren,Deba,43.293616,-2.355378,,2,"43.294045,-2.355531|43.294045,-2.355531"
Euskotren,Derio,43.290827,-2.887276,,2,"43.290916,-2.887485|43.290916,-2.887485"
Euskotren,Durango,43.169457,-2.634787,,2,"43.169488,-2.634781|43.169488,-2.634781"
Euskotren,Eibar,43.186939,-2.465641,,3,"43.187138,-2.465732|43.187135,-2.465416|43.187135,-2.465416"
Euskotren,Elgoibar,43.213608,-2.415941,,2,"43.213428,-2.416005|43.213362,-2.416005"
Euskotren,Elotxelerri-Loiu,43.294479,-2.905664,,1,"43.294429,-2.905925"
Euskotren,Ermua,43.185235,-2.501026,,2,"43.184646,-2.501193|43.184646,-2.501193"
Euskotren,Errekalde-Donostia,43.278846,-2.007148,,2,"43.27874,-2.007477|43.27874,-2.007477"
Euskotren,Errenteria,43.311307,-1.899174,,2,"43.311104,-1.899056|43.311137,-1.89898"
Euskotren,Errotabarri-Ermua,43.183140,-2.498927,,1,"43.183154,-2.498774"
Euskotren,Etxebarri,43.245623,-2.891068,,2,"43.245392,-2.890708|43.245385,-2.890944"
Euskotren,Euba-Amorebieta,43.194827,-2.696740,,2,"43.194602,-2.696809|43.194532,-2.696881"
